PSC Code (Description),4-Digit PSC,Level 1,Level 1 Category,Level 2,Level 2 Category,,
AG32 R&D- ENERGY: GEOTHERMAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AG32,17,Research and Development,17.3,Technology Base,,
AG33 R&D- ENERGY: GEOTHERMAL (ADVANCED DEVELOPMENT),AG33,17,Research and Development,17.1,Systems Development,,
AG34 R&D- ENERGY: GEOTHERMAL (ENGINEERING DEVELOPMENT),AG34,17,Research and Development,17.1,Systems Development,,
AG35 R&D- ENERGY: GEOTHERMAL (OPERATIONAL SYSTEMS DEVELOPMENT),AG35,17,Research and Development,17.2,Operational Systems Development,,
AG37 R&D- ENERGY: GEOTHERMAL (COMMERCIALIZED),AG37,17,Research and Development,17.4,Commericalization,,
AG41 (R&D- ENERGY: WIND (BASIC RESEARCH)),AG41,17,Research and Development,17.3,Technology Base,,
AG42 (R&D- ENERGY: WIND (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG42,17,Research and Development,17.3,Technology Base,,
AG43 R&D- ENERGY: WIND (ADVANCED DEVELOPMENT),AG43,17,Research and Development,17.1,Systems Development,,
AG44 (R&D- ENERGY: WIND (ENGINEERING DEVELOPMENT)),AG44,17,Research and Development,17.1,Systems Development,,
AG45 R&D- ENERGY: WIND (OPERATIONAL SYSTEMS DEVELOPMENT),AG45,17,Research and Development,17.2,Operational Systems Development,,
AG47 R&D- ENERGY: WIND (COMMERCIALIZED),AG47,17,Research and Development,17.4,Commericalization,,
AG51 (R&D- ENERGY: NUCLEAR (BASIC RESEARCH)),AG51,17,Research and Development,17.3,Technology Base,,
AG52 (R&D- ENERGY: NUCLEAR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG52,17,Research and Development,17.3,Technology Base,,
AG53 (R&D- ENERGY: NUCLEAR (ADVANCED DEVELOPMENT)),AG53,17,Research and Development,17.1,Systems Development,,
AG54 (R&D- ENERGY: NUCLEAR (ENGINEERING DEVELOPMENT)),AG54,17,Research and Development,17.1,Systems Development,,
AG55 (R&D- ENERGY: NUCLEAR (OPERATIONAL SYSTEMS DEVELOPMENT)),AG55,17,Research and Development,17.2,Operational Systems Development,,
AG57 (R&D- ENERGY: NUCLEAR (COMMERCIALIZED)),AG57,17,Research and Development,17.4,Commericalization,,
AG61 (R&D- ENERGY: PETROLEUM (BASIC RESEARCH)),AG61,17,Research and Development,17.3,Technology Base,,
AG62 (R&D- ENERGY: PETROLEUM (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG62,17,Research and Development,17.3,Technology Base,,
AG63 (R&D- ENERGY: PETROLEUM (ADVANCED DEVELOPMENT)),AG63,17,Research and Development,17.1,Systems Development,,
AG64 (R&D- ENERGY: PETROLEUM (ENGINEERING DEVELOPMENT)),AG64,17,Research and Development,17.1,Systems Development,,
AG65 (R&D- ENERGY: PETROLEUM (OPERATIONAL SYSTEMS DEVELOPMENT)),AG65,17,Research and Development,17.2,Operational Systems Development,,
AG67 R&D- ENERGY: PETROLEUM (COMMERCIALIZED),AG67,17,Research and Development,17.4,Commericalization,,
AG71 (R&D- ENERGY: SOLAR/PHOTOVOLTAIC (BASIC RESEARCH)),AG71,17,Research and Development,17.3,Technology Base,,
AG72 (R&D- ENERGY: SOLAR/PHOTOVOLTAIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG72,17,Research and Development,17.3,Technology Base,,
AG73 R&D- ENERGY: SOLAR/PHOTOVOLTAIC (ADVANCED DEVELOPMENT),AG73,17,Research and Development,17.1,Systems Development,,
AG74 (R&D- ENERGY: SOLAR/PHOTOVOLTAIC (ENGINEERING DEVELOPMENT)),AG74,17,Research and Development,17.1,Systems Development,,
AG75 (R&D- ENERGY: SOLAR/PHOTOVOLTAIC (OPERATIONAL SYSTEMS DEVELOPMENT)),AG75,17,Research and Development,17.2,Operational Systems Development,,
AG77 R&D- ENERGY: SOLAR/PHOTOVOLTAIC (COMMERCIALIZED),AG77,17,Research and Development,17.4,Commericalization,,
AG81 (R&D- ENERGY: CONSERVATION (BASIC RESEARCH)),AG81,17,Research and Development,17.3,Technology Base,,
AG82 (R&D- ENERGY: CONSERVATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG82,17,Research and Development,17.3,Technology Base,,
AG83 (R&D- ENERGY: CONSERVATION (ADVANCED DEVELOPMENT)),AG83,17,Research and Development,17.1,Systems Development,,
AG84 (R&D- ENERGY: CONSERVATION (ENGINEERING DEVELOPMENT)),AG84,17,Research and Development,17.1,Systems Development,,
AG85 (R&D- ENERGY: CONSERVATION (OPERATIONAL SYSTEMS DEVELOPMENT)),AG85,17,Research and Development,17.2,Operational Systems Development,,
AG87 R&D- ENERGY: CONSERVATION (COMMERCIALIZED),AG87,17,Research and Development,17.4,Commericalization,,
AG91 (R&D- ENERGY: OTHER (BASIC RESEARCH)),AG91,17,Research and Development,17.3,Technology Base,,
AG92 (R&D- ENERGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG92,17,Research and Development,17.3,Technology Base,,
AG93 (R&D- ENERGY: OTHER (ADVANCED DEVELOPMENT)),AG93,17,Research and Development,17.1,Systems Development,,
AG94 (R&D- ENERGY: OTHER (ENGINEERING DEVELOPMENT)),AG94,17,Research and Development,17.1,Systems Development,,
AG95 R&D- ENERGY: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),AG95,17,Research and Development,17.2,Operational Systems Development,,
AG97 (R&D- ENERGY: OTHER (COMMERCIALIZED)),AG97,17,Research and Development,17.4,Commericalization,,
AH11 (R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH)),AH11,17,Research and Development,17.3,Technology Base,,
AH12 (R&D- ENVIRON PROTECTION: POLLUTION CONTROL/ABATEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AH12,17,Research and Development,17.3,Technology Base,,
AH13 (R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (ADVANCED DEVELOPMENT)),AH13,17,Research and Development,17.1,Systems Development,,
AH14 R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (ENGINEERING DEVELOPMENT),AH14,17,Research and Development,17.1,Systems Development,,
AH15 R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (OPERATIONAL SYSTEMS DEVELOPMENT),AH15,17,Research and Development,17.2,Operational Systems Development,,
AH17 (R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (COMMERCIALIZED)),AH17,17,Research and Development,17.4,Commericalization,,
AH21 (R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (BASIC RESEARCH)),AH21,17,Research and Development,17.3,Technology Base,,
AH22 (R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AH22,17,Research and Development,17.3,Technology Base,,
AH23 (R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (ADVANCED DEVELOPMENT)),AH23,17,Research and Development,17.1,Systems Development,,
AH24 (R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (ENGINEERING DEVELOPMENT)),AH24,17,Research and Development,17.1,Systems Development,,
AH25 (R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (OPERATIONAL SYSTEMS DEVELOPMENT)),AH25,17,Research and Development,17.2,Operational Systems Development,,
AH27 (R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (COMMERCIALIZED)),AH27,17,Research and Development,17.4,Commericalization,,
AH31 (R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (BASIC RESEARCH)),AH31,17,Research and Development,17.3,Technology Base,,
AH32 (R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AH32,17,Research and Development,17.3,Technology Base,,
AH33 (R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (ADVANCED DEVELOPMENT)),AH33,17,Research and Development,17.1,Systems Development,,
AH34 (R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (ENGINEERING DEVELOPMENT)),AH34,17,Research and Development,17.1,Systems Development,,
AH35 (R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (OPERATIONAL SYSTEMS DEVELOPMENT)),AH35,17,Research and Development,17.2,Operational Systems Development,,
AH37 R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (COMMERCIALIZED),AH37,17,Research and Development,17.4,Commericalization,,
AH41 (R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (BASIC RESEARCH)),AH41,17,Research and Development,17.3,Technology Base,,
AH42 (R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AH42,17,Research and Development,17.3,Technology Base,,
AH43 (R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (ADVANCED DEVELOPMENT)),AH43,17,Research and Development,17.1,Systems Development,,
AH44 R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (ENGINEERING DEVELOPMENT),AH44,17,Research and Development,17.1,Systems Development,,
AH45 R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (OPERATIONAL SYSTEMS DEVELOPMENT),AH45,17,Research and Development,17.2,Operational Systems Development,,
AH47 R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (COMMERCIALIZED),AH47,17,Research and Development,17.4,Commericalization,,
AH91 (R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)),AH91,17,Research and Development,17.3,Technology Base,,
AH92 (R&D- ENVIRONMENTAL PROTECTION: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AH92,17,Research and Development,17.3,Technology Base,,
AH93 (R&D- ENVIRONMENTAL PROTECTION: OTHER (ADVANCED DEVELOPMENT)),AH93,17,Research and Development,17.1,Systems Development,,
AH94 (R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)),AH94,17,Research and Development,17.1,Systems Development,,
AH95 (R&D- ENVIRONMENTAL PROTECTION: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AH95,17,Research and Development,17.2,Operational Systems Development,,
AH97 (R&D- ENVIRONMENTAL PROTECTION: OTHER (COMMERCIALIZED)),AH97,17,Research and Development,17.4,Commericalization,,
AJ11 (R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (BASIC RESEARCH)),AJ11,17,Research and Development,17.3,Technology Base,,
AJ12 (R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ12,17,Research and Development,17.3,Technology Base,,
AJ13 (R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ADVANCED DEVELOPMENT)),AJ13,17,Research and Development,17.1,Systems Development,,
AJ14 (R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)),AJ14,17,Research and Development,17.1,Systems Development,,
AJ15 (R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)),AJ15,17,Research and Development,17.2,Operational Systems Development,,
AJ17 (R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (COMMERCIALIZED)),AJ17,17,Research and Development,17.4,Commericalization,,
AJ21 (R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (BASIC RESEARCH)),AJ21,17,Research and Development,17.3,Technology Base,,
AJ22 (R&D- GENERAL SCI/TECH: MATHEMATICAL/COMPUTER SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ22,17,Research and Development,17.3,Technology Base,,
AJ23 (R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (ADVANCED DEVELOPMENT)),AJ23,17,Research and Development,17.1,Systems Development,,
AJ24 (R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (ENGINEERING DEVELOPMENT)),AJ24,17,Research and Development,17.1,Systems Development,,
AJ25 (R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)),AJ25,17,Research and Development,17.2,Operational Systems Development,,
AJ27 (R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (COMMERCIALIZED)),AJ27,17,Research and Development,17.4,Commericalization,,
AJ31 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (BASIC RESEARCH)),AJ31,17,Research and Development,17.3,Technology Base,,
AJ32 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ32,17,Research and Development,17.3,Technology Base,,
AJ33 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (ADVANCED DEVELOPMENT)),AJ33,17,Research and Development,17.1,Systems Development,,
AJ34 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (ENGINEERING DEVELOPMENT)),AJ34,17,Research and Development,17.1,Systems Development,,
AJ35 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)),AJ35,17,Research and Development,17.2,Operational Systems Development,,
AJ37 R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (COMMERCIALIZED),AJ37,17,Research and Development,17.4,Commericalization,,
AJ41 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH)),AJ41,17,Research and Development,17.3,Technology Base,,
AJ42 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ42,17,Research and Development,17.3,Technology Base,,
AJ43 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (ADVANCED DEVELOPMENT)),AJ43,17,Research and Development,17.1,Systems Development,,
AJ44 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (ENGINEERING DEVELOPMENT)),AJ44,17,Research and Development,17.1,Systems Development,,
AJ45 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT)),AJ45,17,Research and Development,17.2,Operational Systems Development,,
AJ47 (R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (COMMERCIALIZED)),AJ47,17,Research and Development,17.4,Commericalization,,
AJ51 (R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (BASIC RESEARCH)),AJ51,17,Research and Development,17.3,Technology Base,,
AJ52 (R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ52,17,Research and Development,17.3,Technology Base,,
AJ53 (R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT)),AJ53,17,Research and Development,17.1,Systems Development,,
AJ54 (R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ENGINEERING DEVELOPMENT)),AJ54,17,Research and Development,17.1,Systems Development,,
AJ55 (R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)),AJ55,17,Research and Development,17.2,Operational Systems Development,,
AJ57 (R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (COMMERCIALIZED)),AJ57,17,Research and Development,17.4,Commericalization,,
AJ61 (R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (BASIC RESEARCH)),AJ61,17,Research and Development,17.3,Technology Base,,
AJ62 (R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ62,17,Research and Development,17.3,Technology Base,,
AJ63 (R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ADVANCED DEVELOPMENT)),AJ63,17,Research and Development,17.1,Systems Development,,
AJ64 R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ENGINEERING DEVELOPMENT),AJ64,17,Research and Development,17.1,Systems Development,,
AJ65 R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT),AJ65,17,Research and Development,17.2,Operational Systems Development,,
AJ67 (R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (COMMERCIALIZED)),AJ67,17,Research and Development,17.4,Commericalization,,
AJ71 (R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (BASIC RESEARCH)),AJ71,17,Research and Development,17.3,Technology Base,,
AJ72 (R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ72,17,Research and Development,17.3,Technology Base,,
AJ73 (R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (ADVANCED DEVELOPMENT)),AJ73,17,Research and Development,17.1,Systems Development,,
AJ74 R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (ENGINEERING DEVELOPMENT),AJ74,17,Research and Development,17.1,Systems Development,,
AJ75 R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT),AJ75,17,Research and Development,17.2,Operational Systems Development,,
AJ77 (R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (COMMERCIALIZED)),AJ77,17,Research and Development,17.4,Commericalization,,
AJ91 (R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (BASIC RESEARCH)),AJ91,17,Research and Development,17.3,Technology Base,,
AJ92 (R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AJ92,17,Research and Development,17.3,Technology Base,,
AJ93 (R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)),AJ93,17,Research and Development,17.1,Systems Development,,
AJ94 (R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT)),AJ94,17,Research and Development,17.1,Systems Development,,
AJ95 (R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AJ95,17,Research and Development,17.2,Operational Systems Development,,
AJ97 (R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (COMMERCIALIZED)),AJ97,17,Research and Development,17.4,Commericalization,,
AK11 (R&D- HOUSING: HOUSING (BASIC RESEARCH)),AK11,17,Research and Development,17.3,Technology Base,,
AK12 (R&D- HOUSING: HOUSING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AK12,17,Research and Development,17.3,Technology Base,,
AK13 (R&D- HOUSING: HOUSING (ADVANCED DEVELOPMENT)),AK13,17,Research and Development,17.1,Systems Development,,
AK14 (R&D- HOUSING: HOUSING (ENGINEERING DEVELOPMENT)),AK14,17,Research and Development,17.1,Systems Development,,
AK15 R&D- HOUSING: HOUSING (OPERATIONAL SYSTEMS DEVELOPMENT),AK15,17,Research and Development,17.2,Operational Systems Development,,
AK17 R&D- HOUSING: HOUSING (COMMERCIALIZED),AK17,17,Research and Development,17.4,Commericalization,,
AL11 (R&D- INCOME SECURITY: EMPLOYMENT (BASIC RESEARCH)),AL11,17,Research and Development,17.3,Technology Base,,
AL12 R&D- INCOME SECURITY: EMPLOYMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AL12,17,Research and Development,17.3,Technology Base,,
AL13 (R&D- INCOME SECURITY: EMPLOYMENT (ADVANCED DEVELOPMENT)),AL13,17,Research and Development,17.1,Systems Development,,
AL14 (R&D- INCOME SECURITY: EMPLOYMENT (ENGINEERING DEVELOPMENT)),AL14,17,Research and Development,17.1,Systems Development,,
AL15 (R&D- INCOME SECURITY: EMPLOYMENT (OPERATIONAL SYSTEMS DEVELOPMENT)),AL15,17,Research and Development,17.2,Operational Systems Development,,
AL17 (R&D- INCOME SECURITY: EMPLOYMENT (COMMERCIALIZED)),AL17,17,Research and Development,17.4,Commericalization,,
AL21 (R&D- INCOME SECURITY: INCOME MAINTENANCE (BASIC RESEARCH)),AL21,17,Research and Development,17.3,Technology Base,,
AL22 R&D- INCOME SECURITY: INCOME MAINTENANCE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AL22,17,Research and Development,17.3,Technology Base,,
AL23 R&D- INCOME SECURITY: INCOME MAINTENANCE (ADVANCED DEVELOPMENT),AL23,17,Research and Development,17.1,Systems Development,,
AL24 (R&D- INCOME SECURITY: INCOME MAINTENANCE (ENGINEERING DEVELOPMENT)),AL24,17,Research and Development,17.1,Systems Development,,
AL25 (R&D- INCOME SECURITY: INCOME MAINTENANCE (OPERATIONAL SYSTEMS DEVELOPMENT)),AL25,17,Research and Development,17.2,Operational Systems Development,,
AL27 R&D- INCOME SECURITY: INCOME MAINTENANCE (COMMERCIALIZED),AL27,17,Research and Development,17.4,Commericalization,,
AL91 (R&D- INCOME SECURITY: OTHER (BASIC RESEARCH)),AL91,17,Research and Development,17.3,Technology Base,,
AL92 R&D- INCOME SECURITY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AL92,17,Research and Development,17.3,Technology Base,,
AL93 R&D- INCOME SECURITY: OTHER (ADVANCED DEVELOPMENT),AL93,17,Research and Development,17.1,Systems Development,,
AL94 R&D- INCOME SECURITY: OTHER (ENGINEERING DEVELOPMENT),AL94,17,Research and Development,17.1,Systems Development,,
AL95 R&D- INCOME SECURITY: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),AL95,17,Research and Development,17.2,Operational Systems Development,,
AL97 R&D- INCOME SECURITY: OTHER (COMMERCIALIZED),AL97,17,Research and Development,17.4,Commericalization,,
AM11 (R&D- INTERNATIONAL AFFAIRS AND COOPERATION (BASIC RESEARCH)),AM11,17,Research and Development,17.3,Technology Base,,
AM12 (R&D- INTERNATIONAL AFFAIRS AND COOPERATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AM12,17,Research and Development,17.3,Technology Base,,
AM13 (R&D- INTERNATIONAL AFFAIRS AND COOPERATION (ADVANCED DEVELOPMENT)),AM13,17,Research and Development,17.1,Systems Development,,
AM14 R&D- INTERNATIONAL AFFAIRS AND COOPERATION (ENGINEERING DEVELOPMENT),AM14,17,Research and Development,17.1,Systems Development,,
AM15 R&D- INTERNATIONAL AFFAIRS AND COOPERATION (OPERATIONAL SYSTEMS DEVELOPMENT),AM15,17,Research and Development,17.2,Operational Systems Development,,
AM17 R&D- INTERNATIONAL AFFAIRS AND COOPERATION (COMMERCIALIZED),AM17,17,Research and Development,17.4,Commericalization,,
AN11 (R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)),AN11,17,Research and Development,17.3,Technology Base,,
AN12 (R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN12,17,Research and Development,17.3,Technology Base,,
AN13 (R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)),AN13,17,Research and Development,17.1,Systems Development,,
AN14 (R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)),AN14,17,Research and Development,17.1,Systems Development,,
AN15 (R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)),AN15,17,Research and Development,17.2,Operational Systems Development,,
AN17 (R&D- MEDICAL: BIOMEDICAL (COMMERCIALIZED)),AN17,17,Research and Development,17.4,Commericalization,,
AN21 (R&D- MEDICAL: DRUG DEPENDENCY (BASIC RESEARCH)),AN21,17,Research and Development,17.3,Technology Base,,
AN22 (R&D- MEDICAL: DRUG DEPENDENCY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN22,17,Research and Development,17.3,Technology Base,,
AN23 R&D- MEDICAL: DRUG DEPENDENCY (ADVANCED DEVELOPMENT),AN23,17,Research and Development,17.1,Systems Development,,
AN24 R&D- MEDICAL: DRUG DEPENDENCY (ENGINEERING DEVELOPMENT),AN24,17,Research and Development,17.1,Systems Development,,
AN25 R&D- MEDICAL: DRUG DEPENDENCY (OPERATIONAL SYSTEMS DEVELOPMENT),AN25,17,Research and Development,17.2,Operational Systems Development,,
AN27 R&D- MEDICAL: DRUG DEPENDENCY (COMMERCIALIZED),AN27,17,Research and Development,17.4,Commericalization,,
AN31 (R&D- MEDICAL: ALCOHOL DEPENDENCY (BASIC RESEARCH)),AN31,17,Research and Development,17.3,Technology Base,,
AN32 (R&D- MEDICAL: ALCOHOL DEPENDENCY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN32,17,Research and Development,17.3,Technology Base,,
AN33 R&D- MEDICAL: ALCOHOL DEPENDENCY (ADVANCED DEVELOPMENT),AN33,17,Research and Development,17.1,Systems Development,,
AN34 R&D- MEDICAL: ALCOHOL DEPENDENCY (ENGINEERING DEVELOPMENT),AN34,17,Research and Development,17.1,Systems Development,,
AN35 R&D- MEDICAL: ALCOHOL DEPENDENCY (OPERATIONAL SYSTEMS DEVELOPMENT),AN35,17,Research and Development,17.2,Operational Systems Development,,
AN37 R&D- MEDICAL: ALCOHOL DEPENDENCY (COMMERCIALIZED),AN37,17,Research and Development,17.4,Commericalization,,
AN41 (R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH)),AN41,17,Research and Development,17.3,Technology Base,,
AN42 (R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN42,17,Research and Development,17.3,Technology Base,,
AN43 (R&D- MEDICAL: HEALTH SERVICES (ADVANCED DEVELOPMENT)),AN43,17,Research and Development,17.1,Systems Development,,
AN44 (R&D- MEDICAL: HEALTH SERVICES (ENGINEERING DEVELOPMENT)),AN44,17,Research and Development,17.1,Systems Development,,
AN45 (R&D- MEDICAL: HEALTH SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)),AN45,17,Research and Development,17.2,Operational Systems Development,,
AN47 (R&D- MEDICAL: HEALTH SERVICES (COMMERCIALIZED)),AN47,17,Research and Development,17.4,Commericalization,,
AN51 (R&D- MEDICAL: MENTAL HEALTH (BASIC RESEARCH)),AN51,17,Research and Development,17.3,Technology Base,,
AN52 (R&D- MEDICAL: MENTAL HEALTH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN52,17,Research and Development,17.3,Technology Base,,
AN53 (R&D- MEDICAL: MENTAL HEALTH (ADVANCED DEVELOPMENT)),AN53,17,Research and Development,17.1,Systems Development,,
AN54 R&D- MEDICAL: MENTAL HEALTH (ENGINEERING DEVELOPMENT),AN54,17,Research and Development,17.1,Systems Development,,
AN55 (R&D- MEDICAL: MENTAL HEALTH (OPERATIONAL SYSTEMS DEVELOPMENT)),AN55,17,Research and Development,17.2,Operational Systems Development,,
AN57 (R&D- MEDICAL: MENTAL HEALTH (COMMERCIALIZED)),AN57,17,Research and Development,17.4,Commericalization,,
AN61 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (BASIC RESEARCH)),AN61,17,Research and Development,17.3,Technology Base,,
