Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"IMMUCOR, INC.",5/15/17,5/14/18,42229.91,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",11/2/12,1/11/18,132079.61,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/16,5/30/19,91938.6,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/15,8/27/18,23918.91,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/15,3/19/18,55279.7,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",4/1/17,9/30/19,98765.3,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",1/26/17,3/31/18,36279,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/15,9/30/18,28185.6,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/17,2/28/19,9472,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/3/16,9/30/17,70669.94,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",1/17/17,2/1/19,37417.74,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",11/17/16,11/16/20,114077,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/17,5/23/19,16748,Department of Veterans Affairs,BPA CALL,GA,325413
"SEBIA, INC.",10/1/17,8/26/19,33566.6,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/16,4/30/18,15926.02,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/16,3/26/18,4638.41,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/16,3/21/19,38388.1,Department of Veterans Affairs,BPA CALL,GA,325413
"SEBIA, INC.",6/1/17,7/17/18,36400.4,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"ORTHO-CLINICAL DIAGNOSTICS, INC.",9/30/17,9/29/20,15420.6,Department of Veterans Affairs,PURCHASE ORDER,GA,325413
FISHER SCIENTIFIC COMPANY L.L.C.,10/1/17,7/9/19,9930.75,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/17,9/30/20,19378.71,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"BIOMERIEUX , INC.",9/1/17,8/31/19,278540,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/16,4/11/19,6371.93,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
FISHER SCIENTIFIC COMPANY L.L.C.,10/1/15,5/24/18,16697.8,Department of Veterans Affairs,BPA CALL,GA,325413
WERFEN USA LLC,10/1/16,9/30/19,3859.2,Department of Veterans Affairs,DEFINITIVE CONTRACT,GA,325413
ROCHE DIAGNOSTICS CORPORATION,1/1/15,2/4/20,514992.39,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
CEPHEID,10/1/14,7/11/19,2186591.61,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"ORTHO-CLINICAL DIAGNOSTICS, INC.",10/1/14,7/18/19,665271.21,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/14,9/30/19,89033.46,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"ORTHO-CLINICAL DIAGNOSTICS, INC.",10/1/14,1/27/20,137820.51,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"ORTHO-CLINICAL DIAGNOSTICS, INC.",12/3/13,5/6/19,437404.3,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"BIOMERIEUX , INC.",11/19/13,5/18/18,162176,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/17,12/13/18,8378.83,Department of Veterans Affairs,BPA CALL,GA,325413
"SEBIA, INC.",10/1/17,1/10/19,22147.2,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/16,2/2/18,16974.74,Department of Veterans Affairs,BPA CALL,GA,325413
"SEBIA, INC.",10/1/16,9/30/17,36801,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/16,11/13/19,80286.66,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/15,1/16/18,26281.04,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",5/1/15,4/30/20,22405.41,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/16,6/11/19,30086.62,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/16,8/1/18,24175.82,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/15,7/31/19,54087.33,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/15,1/24/19,49300.03,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/15,7/18/19,100676.49,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",10/1/17,1/16/20,69949.48,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/20,23675.34,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/17,9/30/20,82489.83,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/20,129304.12,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/14,9/30/15,120722.38,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/9/18,9/23/19,60114.97,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/6/17,9/23/18,59639.16,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/9/14,9/28/15,91866.32,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/19,9253.58,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/17,9/30/19,58794.06,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/16,9/30/17,10227.22,Department of Defense,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",10/1/18,9/4/19,7653.03,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/16,9/30/17,7544.27,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",6/12/18,6/29/18,5308.83,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/31/17,10/22/18,16275,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/5/16,1/3/20,1374.74,Department of Defense,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",10/3/14,5/12/19,573791.93,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/17/12,10/19/13,18716.36,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/5/12,2/14/20,16822.8,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/19,11448.74,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",6/13/16,8/12/19,10931.33,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",6/29/15,9/30/16,12689.44,Department of Defense,DELIVERY ORDER,GA,325413
"SEBIA, INC.",11/20/18,12/31/19,124132.5,Department of Defense,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",9/24/18,9/30/19,200105.61,Department of Defense,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",7/11/18,9/30/18,9895.66,Department of Defense,BPA CALL,GA,325413
"IMMUCOR, INC.",2/7/18,2/22/19,16305.36,Department of Health and Human Services,DELIVERY ORDER,GA,325413
"BIOMERIEUX , INC.",8/14/13,9/30/13,149900,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"MESO SCALE DIAGNOSTICS, LLC",3/23/18,4/30/18,5309.94,Department of Health and Human Services,PURCHASE ORDER,GA,325413
BIOCARE MEDICAL LLC,3/9/18,3/15/18,7733,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BIOPOOL US, INC",3/1/18,2/28/23,6500.04,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"QIAGEN, LLC",1/26/18,12/25/18,10102,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"INTEGRATED DNA TECHNOLOGIES, INC.",5/23/17,5/22/18,5796,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BIO-RAD LABORATORIES, INC.",2/23/17,9/30/17,34227.86,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"SALIMETRICS, LLC",6/25/15,3/25/20,5027,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BIOMERIEUX , INC.",5/1/15,4/11/16,29545.92,Department of Health and Human Services,PURCHASE ORDER,GA,325413
CEPHEID,1/9/14,6/17/16,7058.64,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BIOFIRE DIAGNOSTICS, LLC",2/23/15,5/30/15,568284.92,Department of Health and Human Services,DELIVERY ORDER,GA,325413
ROCHE DIAGNOSTICS CORPORATION,6/13/14,9/1/14,45976,Department of Health and Human Services,PURCHASE ORDER,GA,325413
SIEMENS HEALTHCARE DIAGNOSTICS INC.,1/29/13,1/15/14,13162,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",2/8/18,2/18/18,4285.18,General Services Administration,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",10/1/17,9/30/18,109917.23,Department of Defense,DELIVERY ORDER,GA,325413
REMEL INC.,6/23/16,9/30/16,100684.35,Department of Agriculture,DELIVERY ORDER,GA,325413
REMEL INC.,5/3/16,5/26/16,15067.33,Department of Agriculture,DELIVERY ORDER,GA,325413
REMEL INC.,2/4/16,9/30/16,111886.59,Department of Agriculture,DELIVERY ORDER,GA,325413
ELISA TECHNOLOGIES INC,9/23/15,8/8/16,0,Department of Agriculture,DELIVERY ORDER,GA,325413
REMEL INC.,8/24/15,9/30/16,57602.42,Department of Agriculture,DELIVERY ORDER,GA,325413
REMEL INC.,12/10/14,2/1/15,7372.15,Department of Agriculture,DELIVERY ORDER,GA,325413
"RAYBIOTECH, INC.",10/24/18,11/23/18,12320.8,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"PRO-LAB, INCORPORATED",9/21/18,10/21/18,19091.6,Department of Health and Human Services,PURCHASE ORDER,GA,325413
FULLER LABORATORIES,9/15/18,10/14/18,43508.52,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"KEPHERA DIAGNOSTICS, LLC",9/13/18,9/12/19,150000,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"AGENA BIOSCIENCE, INC.",8/30/18,9/30/18,10212,Department of Health and Human Services,PURCHASE ORDER,GA,325413
ABBOTT LABORATORIES,8/28/18,9/30/18,25824,Department of Health and Human Services,PURCHASE ORDER,GA,325413
REMEL INC.,8/27/18,9/30/18,29010.94,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"ILLUMINA, INC.",8/24/18,9/24/18,6669,Department of Health and Human Services,PURCHASE ORDER,GA,325413
ABBOTT MOLECULAR INC.,8/20/18,8/26/21,60480,Department of Health and Human Services,PURCHASE ORDER,GA,325413
PROMEGA CORPORATION,8/20/18,8/31/21,23740,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"QIAGEN, LLC",8/20/18,9/18/18,45546.81,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"LONZA WALKERSVILLE, INC.",8/14/18,9/13/18,38309.48,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"ILLUMINA, INC.",8/15/18,8/14/19,16645,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BECKMAN COULTER, INC.",8/2/18,7/8/19,10032,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"QIAGEN, LLC",7/30/18,9/15/18,77969,Department of Health and Human Services,PURCHASE ORDER,GA,325413
MISCELLANEOUS FOREIGN AWARDEES,8/27/18,8/31/19,6325.2,Department of Health and Human Services,PURCHASE ORDER,GA,325413
GLOBAL LIFE SCIENCES SOLUTIONS USA LLC,7/30/18,9/20/19,13146,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"ILLUMINA, INC.",9/30/18,9/30/18,21829.5,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"MESO SCALE DIAGNOSTICS, LLC",7/9/18,5/31/19,5694.67,Department of Health and Human Services,PURCHASE ORDER,GA,325413
CROSSLIFE TECHNOLOGIES INC.,8/1/18,7/31/19,149956,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"TRACE-ABILITY, INC.",8/1/18,8/1/18,150000,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BIOPOOL US, INC",7/9/18,8/30/18,28378,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"MAXIM BIOMEDICAL, INC.",7/15/18,9/30/18,9555,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BECKMAN COULTER, INC.",7/2/18,7/6/18,86629.5,Department of Health and Human Services,PURCHASE ORDER,GA,325413
LUMINEX CORPORATION,6/18/18,6/22/18,16623.9,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"QIAGEN, LLC",7/23/18,8/30/18,75149.98,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"QIAGEN, LLC",7/9/18,9/30/18,17681.98,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"BOCA BIOLISTICS, LLC",7/20/18,8/15/18,149965,Department of Health and Human Services,PURCHASE ORDER,GA,325413
REMEL INC.,6/8/18,9/15/18,140227.5,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"ILLUMINA, INC.",4/25/18,3/31/19,16936.56,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"RESEARCH AND DIAGNOSTIC SYSTEMS, INC.",4/18/18,5/25/18,22350,Department of Health and Human Services,PURCHASE ORDER,GA,325413
"D'S VENTURES, LLC",4/17/18,4/30/18,57216,Department of Veterans Affairs,PURCHASE ORDER,GA,325413
"D'S VENTURES, LLC",3/7/18,3/30/18,0,Department of Veterans Affairs,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/19,64543.84,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/18,7/31/20,122436.9,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"IMMUCOR, INC.",10/20/17,9/30/18,14339.57,Department of Veterans Affairs,DELIVERY ORDER,GA,325413
"SEBIA, INC.",8/17/18,9/30/18,35850,Department of Veterans Affairs,PURCHASE ORDER,GA,325413
"IMMUCOR, INC.",10/18/18,10/17/19,42500,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/19,48000,Department of Veterans Affairs,BPA CALL,GA,325413
"IMMUCOR, INC.",10/1/18,9/30/19,62661.7,Department of Veterans Affairs,BPA CALL,GA,325413
DRIVEN VISIONS ENTERPRISES INC.,12/9/15,10/3/19,0,Department of Defense,PURCHASE ORDER,GA,325414
ANTIBODIES-ONLINE INC.,9/26/18,10/14/18,674.35,Department of Defense,DELIVERY ORDER,GA,325414
LIFE TECHNOLOGIES CORPORATION,8/11/16,8/31/17,18829.75,Department of the Interior,PURCHASE ORDER,GA,325414
"VWR INTERNATIONAL, LLC",2/1/18,4/30/18,4991.64,Department of Health and Human Services,PURCHASE ORDER,GA,325414
SEQIRUS USA INC.,12/12/17,2/28/19,1094939.5,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,325414
SANOFI PASTEUR INC.,12/12/17,2/28/19,1083060.81,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,325414
GLAXOSMITHKLINE LLC,12/12/17,2/28/19,4042542.6,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,325414
"HYCLONE LABORATORIES, INC.",8/18/17,9/1/17,0,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"BIO-RAD LABORATORIES, INC.",8/18/17,6/30/18,5379.36,Department of Health and Human Services,PURCHASE ORDER,GA,325414
LIFE TECHNOLOGIES CORPORATION,8/15/17,5/1/18,118049.95,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"BIO-RAD LABORATORIES, INC.",3/30/17,3/31/19,7745.52,Department of Health and Human Services,PURCHASE ORDER,GA,325414
ZEPTOMETRIX CORPORATION,8/26/14,8/30/14,5165.08,Department of Health and Human Services,PURCHASE ORDER,GA,325414
LIFE TECHNOLOGIES CORPORATION,6/10/14,6/30/14,36237.5,Department of Health and Human Services,PURCHASE ORDER,GA,325414
LIFE TECHNOLOGIES CORPORATION,11/28/12,5/27/14,55991.79,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"NOVARTIS VACCINES AND DIAGNOSTICS, INC.",4/19/13,12/31/16,211065.78,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,325414
"MERIAL, INC.",2/27/18,3/29/18,6015.21,Department of Commerce,PURCHASE ORDER,GA,325414
"ATLANTA BIOLOGICALS, INC.",5/4/18,5/3/19,15823.4,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"ATLANTA BIOLOGICALS, INC.",7/3/18,8/2/18,14623.4,Department of Health and Human Services,BPA CALL,GA,325414
"ATLANTA BIOLOGICALS, INC.",6/27/18,7/26/18,8857.3,Department of Health and Human Services,BPA CALL,GA,325414
"VWR INTERNATIONAL, LLC",9/13/18,11/29/18,13434,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"PARAGON GENOMICS, INC.",8/27/18,6/17/19,11577.8,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"NEW ENGLAND BIOLABS, INC.",8/15/18,8/5/19,9713.75,Department of Health and Human Services,PURCHASE ORDER,GA,325414
BIOLINE USA INC.,8/9/18,7/1/19,13116.4,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"DIVERSIFIED BIOTECH, INC.",8/31/18,10/31/18,16983,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"BIOLEGEND, INC.",7/18/18,8/31/18,5084,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"NEW ENGLAND BIOLABS, INC.",7/23/18,8/30/18,15542,Department of Health and Human Services,PURCHASE ORDER,GA,325414
CYANVAC LLC,8/1/18,7/31/19,149999,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"ATLANTA BIOLOGICALS, INC.",7/9/18,8/31/18,35615.08,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"VWR INTERNATIONAL, LLC",6/26/18,7/26/18,5228.86,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"SIGMA-ALDRICH, INC.",5/14/18,6/14/18,24333.45,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"VWR INTERNATIONAL, LLC",4/2/18,4/1/19,16921.02,Department of Health and Human Services,PURCHASE ORDER,GA,325414
"BIOSEARCH TECHNOLOGIES, INC.",5/1/18,9/15/18,145400,Department of Health and Human Services,DELIVERY ORDER,GA,325414
"ATLANTA BIOLOGICALS, INC.",7/10/18,8/9/18,17343.38,Department of Health and Human Services,DEFINITIVE CONTRACT,GA,325414
"MERIAL, INC.",5/7/18,12/31/18,14347.2,Department of the Interior,PURCHASE ORDER,GA,325414
"MERIAL, INC.",12/11/18,10/30/19,145591.2,Department of Agriculture,DELIVERY ORDER,GA,325414
"MERIAL, INC.",9/24/18,10/30/19,419922,Department of Agriculture,DELIVERY ORDER,GA,325414
"MERIAL, INC.",8/29/18,8/31/18,247230,Department of Agriculture,DELIVERY ORDER,GA,325414
"MERIAL, INC.",5/16/18,8/31/18,3697945.8,Department of Agriculture,DELIVERY ORDER,GA,325414
"MERIAL, INC.",2/6/18,8/31/18,2789461.8,Department of Agriculture,DELIVERY ORDER,GA,325414
LIFE TECHNOLOGIES CORPORATION,9/14/18,11/30/18,24976,Department of Agriculture,PURCHASE ORDER,GA,325414
LIFE TECHNOLOGIES CORPORATION,6/29/18,10/31/18,10752,Department of Agriculture,PURCHASE ORDER,GA,325414
HYGIENA LLC,7/31/18,7/5/23,221523.12,Department of Agriculture,DELIVERY ORDER,GA,325414
3M COMPANY,7/31/18,6/5/19,445260,Department of Agriculture,DELIVERY ORDER,GA,325414
"LAMPIRE BIOLOGICAL LABS, INC.",5/16/18,3/18/23,3832,Department of Agriculture,DELIVERY ORDER,GA,325414
"PRC - DESOTO INTERNATIONAL, INC.",11/26/18,1/25/19,240.64,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/28/18,3/15/19,3618,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/22/18,3/7/19,14145.12,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/22/18,3/29/19,2474,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/21/18,2/28/19,123.6,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/21/18,2/28/19,102,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/20/18,2/19/19,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/15/18,1/22/19,51560.25,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/13/18,12/14/18,320.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/13/18,1/14/19,320.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,2/12/19,660,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,2/11/19,330,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,2/11/19,320.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/8/18,2/28/19,260,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/7/18,1/31/19,240,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/4/18,1/31/19,240,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/6/18,1/30/19,961.32,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/27/18,1/31/19,280,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/26/18,1/31/19,260,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/23/18,1/22/19,295,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/19/18,1/31/19,240,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/16/18,1/31/19,220.36,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/13/18,1/31/19,48500,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/9/18,1/31/19,290,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/5/18,1/31/19,588,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/5/18,12/3/18,840,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/2/18,1/2/19,320.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/2/18,1/14/19,220,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/20/18,1/22/19,1566.04,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/30/18,11/29/18,319.2,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/26/18,12/26/18,294,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/26/18,12/31/18,5694.84,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/26/18,12/31/18,220,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/24/18,12/31/18,290,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/24/18,12/24/18,2504.96,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/23/18,12/24/18,120.96,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/22/18,12/31/18,578,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/22/18,12/31/18,5016,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/20/18,12/31/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/23/18,12/19/18,440.72,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/20/18,12/31/18,284,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/20/18,12/31/18,570,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/19/18,12/18/18,60,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/19/18,12/18/18,580,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/18/18,11/19/18,290.08,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/18/18,11/12/18,628.32,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/16/18,12/17/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/16/18,12/17/18,289,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/15/18,12/14/18,5793.45,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/15/18,11/14/18,298,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/15/18,12/14/18,330,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/13/18,12/12/18,580,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/13/18,12/12/18,4869.6,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/13/18,11/27/18,1450,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/12/18,12/11/18,3515.28,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/12/18,12/11/18,141.85,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/10/18,12/10/18,440,Department of Defense,PURCHASE ORDER,GA,325510
